Original English,Translated AR
Let me see the new people.,خليني نشوف ناس جديدين
this work isnt efficient,هاد العمل غير كفء
i'm meeting a friend for lunch,أنا نلتقى بصديق للغداء
The advantage is freedom.,مزية الحرية.
our reputation is reduced,سمعتنا خاسّرة
boil water while you're there,علّق ماء بينما أنت هناك
we try to sensibilize people,كنّا نحاول نحسّن الناس
this match dont waste any oppourtinity,هاد المباراه ماهدر شي شي شي
arabs did well,راه راه راه
its good to be confident,راه جيّد ليا ثقة
"Plus, the third neighbor is really pretty good",زائد، جارة الثالثة جيّد جدا جدا
"But, whilst you're here, could you go get me a glass of water perhaps?",ولكن، بينما كنت هنا، يمكن أن تذهب واش لي كوب من الماء ربما؟
many players got injured in world cup,العديد من اللاعبين أصيبو في الكوب العالمي
Are you on business?,واش تعملون معا؟
and leave someone works it,ونترك شخص ما يعمل هاد
please find me something,راه جد ليا شي شي شي
Do you play basketball?,واش تلعب ليه؟
I'm waiting for you to eat tajine,ماننتظرك تاكل تاجين
you will explain to me in details,غادي توضّح ليّ بالتفاصيل
my sis came from spain,واش ليا ليا خايشي من سباين
i wll not feed this baby,مابغيش نطعم هاد الطفل
you don't know him yet enough ,مانعرفه باش بزاف
if only I could enter from that door,كون غير قدرت ندخل من ذلك الباب
i argued with him aout mobey,تجادلنا معاه بزاف بزّاف
i will wait for your answer,غادي نبقّي باش نجيبك
She wants to avenge her husband's killers,واش كانت تهاجّم على قتلة زوجها
Everyone knows,راه كل واحد يعرف
i have changed a lot of thought,غيرت ليا الكثير من الفكر
he fell down the stairs,سقط من على السلالم
i won't come,مانبغيش نمشي
Stop gambling,توقّف قمار
she always late,راه كانت متاخرة
dont mind my question,مابغيش ديال ديال ديال ديالي
I think it's very good,واش نضن هادشي هادشي
if you just trusted all of us to do our jobs we would be so much more effective,كون غير وثّقنا كُلّ واحد منّا باش نؤدّي وظائفنا كنّا نصبح أكفّل بزّاف
They had the wedding during the day.,كانو عرسو في النهار
I hope so.,أملت بزّاف.
with whom are you coming,مع من ستحضر؟
I think if i should tie this curtains,كانضن غادي نربط هاد الستائر
he is rude,هادشي بزّاف
He is a stubborn person,هو شخص عنيد
I have a cat,عندي قطة
if you have it,كون عندك هادشي
make todays date,واش ديال ديال ديال ديال التاريخ
I put the best part in my copy.,أنا وضعت أفضل جزء في لغتي.
dont yell,واش نصرخ
where he gone now,واين راه بزّاف بزّاف
i thought that  he will make it cheaper,كانضن ليا غادي يجعل ليا راسا
he's trying a new recipe for dinner,كان يجرب وصفة جديدة لعشاء
Why don't you want to talk to him gently,علاش مابغيتيش تهتّم معاه بزّاف
But you told me you went on a honeymoon!,لكنّك قلت ليّا أنّك ذهبت في شهر العسل!
i want some money from you,مابغيتي بزّاف منك
this is second time I see you,هاد هي المرة الثانية نراكم
he love her a lot,كان يحبها كثيرا
because it wouldn't be fair to the other students,لأنّه ماكان غير عادل لطلاب آخرين
lets go to the port,خلينا نمشي إلى المرفأ
i told her,أنا قلت لها
dont look me this way,مابغيش ليا هاد الطريق
the fans are abusing,المعجبين يسيئون
hwo do you do it,واش تفعل هادشي
my sister got cold,خوتي كانت تبرد
he got depressed since his mom died,كان مكتئب منذ مات امه
Do you have any food or drink with you?,عندك أيّ غذاء أَو شراب مَعك؟
can i ask you,أنا يُمْكِنُ أَنْ نَسْألَك
you should never invent unsful thing,مابغيتيش تخترعي شي غير صالح
I came to you today,جات ليك اليوم
i should find nothing please,أنا غادي نوجد هادشي
she didnt give birth narutally,واش ماكانت تلد بزّاف بزّاف بزّاف بزّاف
There is lots to organise though,هادشي ديال نديرها
its pricy,راه بزّاف بزّاف
betty has painted a beautiful picture for her best friend,راه كاتي رسمو صورة جميلة لعشيقها
many,بزّاف بزّاف بزّاف
go again,هادشي مرة أخرى
to when you wil stay hidden,واش تا غادي تا بزّاف
as you like,واش تروق ليك
Let's go to our friends,دعونا نذهب لرفاقنا
don't force us to speak with the language you want,مابغيش نا غادي نتكلّم مع اللّغة التي تبغيها
"No, I've never been here before",كلا، مابقيت هنا من قبل
it suits you,راه ليك
you need to walk a bit,حاجتي نمشي قليلا
this is my colleague,هادشي زميلي
he find it,راه جدها
my money is yours,مالي ملكك
who went with him,راه ذهب معه
Wednesday,واش
you sent me to the lad,بعث ليا ليا غادي
your clothes are dirty,واش بزّاف بزّاف بزّاف
I'am men of honour,راه ليا رجال شرفة
descend girls,هادشي بنات
entered the house again,غادي ندير هاد الدار مرة أخرى
you make a good meal,واش تكوّن ديال ديال جيّدة
Let me check,خليني نتحقق
go out from here,هادشي من هنا
there is rivalrty between us and china,هادشي تخاصّم بينّا وشينّا
i can understand someone,أنا يُمْكِنُ أَنْ أَفْهمَ شخص ما
God is the greatest,اللهو هو القدير
don't apologize,ماشيش تتخلّف
god help you,ليا الله غاديك
Will you get us some drinks?,علاش تحضري لنا بعض المشروب؟
they took they kids from school,غادي غادي غادي من المدرسة
He learned a new recipe,راه راه راه جديد
we are going to the hospital tonight,غادي نتوجه للمشفى الليلة
 he couldn't walk,راه ماكان يمشي
they called me,هم نادوني
have you finished your education,واش قد انتهيتي من تعليمك
what shoe size do you wear,راه راه بزّاف باش بزّاف بزّاف بزّاف بزّاف
Watch out !,احترّم!
i should do like last years,أنا غادي نديرك
I've got some water if you want.,عندي بَعْض الماءِ إذا تُريدُ.
parents love their children,والوالدان يحبان اولادهما
I was waiting for you,كنت في انتظارك
what you did in eid,ماعملتيه في آيد
learn from your mistakes,تعلّم من أخطائك
You don't want to count your job,مابغيتيش تحصي شغلك
