Original Eng,tgt,src
i wish you could stay with me always,ماكرهتش بلي تقدر تبقى معايا ديما,I hope you can stay here for a while
You don't want to blame me,مابغيتيش تلومني,Why don't you see me?
far away from the center,بعيد من مركز,Away from the center
put it in a bag,دخل فشي ساك,Get in there
Don't shave your face,بلا ما تحلق وجهك,Without your face
you are too late to get mad,تعطلي بزّاف باش تغضّب,Give me the top of the toad
he is paying for this project,هو كايخلص على هاد المشروع,He's like the last one on this project
i can't believe it's already friday,ماكانتقدرش نصدق ليا راه جمعة,I couldn't believe it for a week
Please let's not.,عفاكا خلينا ماتبقاش.,Please let us have your rest.
i will play music,أنا غادي نلعب موسيقا,I'm going to play music
i have other plans,عندي خطط أخرى,I have other plans
with a pen,مع القلم,With the book
I swear I'm bored,أنا قسمني أنا كايملع,I swear I'm all right
they hate each other,كايكرهو بيهم,I hate them
i was you talking about ears,كنت كنڭول ليك على الأذنين,I used to be on your toes
Let me tell him the info,خليني نڭول ليه المعلومة,Let me get him some information
it can be applied on glass,ممكن تطبق على كاس,Maybe you can apply for a cass
i work at hospital,أنا كانخدم فسبيتار,I used to work at the hospital
he never slapped her,ماعمرش كايبليها,I'm not going to tell you
good lunch,طعام الغا,Alga food
this is an adventure,هادشي ماجرة,This is a great story
i will arrive to take you,أنا غادي نجي نجي نخرجك,I'm going to come and let you out.
why do you lie?,علاش كدب؟,Is it true?
the right person won't leave you suffering,راه ليك ماغاديش يخلعكش ليا شي واحد,There is no way for you to leave me without one thing
You laugh in my face and you talk about me behind my back ,كيتضحك ف وجهي و كتهدري عليا ورا,I laughed in the face and I knew you well
i like young and old,كايعجبني شاب و كبر,I need to be young and old
you asked,راك سولو,You're on your own.
That's my husband's work. I asked him yesterday ,هادا الخدمة ديال زوجي. سولت ليه البارح,This is my husband's service.
i polie with you,أنا كايعجبني معاك,I'm just wondering with you
And a couple of hats.,و شي حدّة ديال الحوايج.,And a little bit of the need.
Don't get a haircut,بلا ما ت قصّ شعرك,Don't cut your hair
we need to start from zero,خاصنا نبداو من الصفر,Especially in the morning
where is the changing room?,فين كاين بيت التبديل؟,Is there a house to change?
what bim,أش كايبيم,I know
if only I could invent new watch,كون غير قدرت ن خلّص فاش جديد,I can't make a new one
they are looking for a name,كايقلبو على شي سمية,I'm looking for something
then I disappear into the forest to consider existence,منين غايختفي ف الغابة باش نستفكر ف الوجود,I'm not going to be able to think about the existence
we have no son,ماعندنا ولد,What a child we have
You don't want to understand teacher,مابغيتيش تفهم الأستاد,You won't understand the teacher
where did you meet her ,فين تلاقيتيها,Where did you find her?
anything,شي حاجة,Something is needed
you are very strict,نتا مشكل بزاف,It's not that difficult.
may god forgive us,الله يسامح لينا,God forgive Lena
you should never hurry,عمرك تسرع,Your age is going very quickly
he doesnt mind me,ماعنديش مسيان,I am not a problem
except for joy,غير الفرح,Not happy
she wants to flee,بغا تهرب من هنا,Bigge from here
we will go,غانمشيو,I didn't see him
i work as it happens,أنا خدام كايجي,I am a servant of the Kajeji
how about we plan a movie night this weekend?,واخا نتخطط نشوفو ليل واحد هاد لويكاند؟,Why don't we plan to show you one night?
i saw him in the market,شفتو ف سوق,Saturdays at the market
i wish it only a rumor,كانتمنى غير أن يكون ليك شي لفت,I wish there was nothing left for you
"Okay, I'll see you tomorrow!",أوك، نشوفك غدا!,"Okay, see you tomorrow!"
take care,خليك,Khleck
Have you tried to  ask too much money and give them back ,عمرك جربتي تطلب بزاف ديال الفلوس و ترجع ليهوم,You've always been forced to ask for a lot of money and come home
The plan is to get a taxi to her appartment,الخطة هي توكسي باش نخرج لدار,The problem is get out of here.
you should never park at tight space,عمرك ت بارك ف بلاصة مشدودة,Your age is a busy place
"I love animals, but I'm allergic to polite animals","كايعجبوني الحيوانات, و لكن أنا حساسية لحيوانات المزيان","I like animals, but I'm sensitive to animals"
Fear is running in our veins.,الخوف كايجري في الأوردة ديالك,Fear is like what's happening in your world
I really didn't know it was this serious,راني ماعرفتش بلي هادشي خطير,I don't know if this is a dangerous thing
It's gonna be really beautiful,غاتكون زوينة بزاف,You're going to be so beautiful.
its been a week he is in home,هادا سّايبة راه ف الدار,That's the way to the bottom
she lived in another country,كانت كايبقى فبلاد تانية,I used to be in another country
they will need some fat on them for when they are sitting on eggs,غادي يحتاجو شوية ديال لدهون فاش يجلسو على البيض,You'll need some of the money to sit on the white
you are always like that,ديما نتا بحال هادشي,We've got to get back to this.
tie you shoes,ربط الحذاء,Link the suit
give yourself time to rest,عطي راسك وقتا باش ترتاح,Give me some time to rest
You'll be able to vouch for me!,غادي تكون قادر ت كفرّد ليا!,You'll be able to speak to me!
Or how is that perceived now?,ولا كيداير هادشي دابا؟,And no more than that?
he robs publically,كايسرق علما,How did you get to know me?
it is not up for discussion,ماشي هادشي لي غادي يتناقشو,Nothing is going to be discussed
too much expensive,زيد بزّاف,Zayed Bzadzaf
how much you work as a taxi,شحال من الوقت كخدمي تاكسي,How long have you been a taxi service?
she favors my sis over me,راه كايفضل ختي عليا,The way is better than my alias
i'm filling some forms,أنا كنمل شي فرام,I was doing a little bit of the work
she carry a child,كايحمل على ولدها,How do I get her?
if only he forgot her,كون غير قدرت ينساها,Be unable to forget her
a lot  people suffered,بزاف ديال الناس عانو,There are so many people out there
