Original Eng,Translated AR
I'am living with little,أنا كانعيش مع القليل
I'm talking about the manager of my department,كانڭول على مدير ديال القسم ديالي
you should never do like this,عمرك دير هادشي
this is good,هادشي مزيان
i think of showing off,تانفكّر واش نقدر نستعرض
to know your next step,باش تعرفي الخطوة الجاية ديالك
I don't have a girlfriend,ماعنديش صاحبة
I know all the people here,أنا كانعرف كل ناس هنا
Sorry so slow but I m on my phone,سمحلي بطل ولكن أنا ف تيليفون
i'm nor from this place,أنا ماشي من هاد البلاصة
I've had a horrible day,لقيت نهار خايب
i don't say something bad,ماكانڭولش شي حاجة خايبة
is there any news,واش كاينا شي خبر
i do whatever ,أنا كاندير كلشي
my teeth are alighned,راه كايشعل ليا سناني
he broke with me,تخلّع معايا
Don't good bye ,ماتقعدش على راسك
the teacher gave me a good grade,المعلم عطيني نمرة زوينة
i will follow her now,أنا غادي نتبعها دابا
i didnt know if i had a sun stroke,ماعرفتش واش كنت عندي شي درجة ديال شمش
if only i had a balcony,كون غير قدرت نستيق شي باركون
overthinking,كايفكر بزّاف
you every right to win ,عندك الحق كتر من لعب
he is way up your league,راه كتر من لسانتك
nothing has happened,ماعندك تاح
First time on hair coloring,أول مرة ف ديك لون ديال شعر
are there dogs here,واش كاينين الكلاب هنا
how much you need,شحال خاصك
they split the heritage,تقسّم الوارث
is more than my salary,كتر من لخير
i mount the bike,كانركب دوك الدراري
That's my girl.,هادي بنتي.
"You don't want to boycott your own mother, it's a shame",مابغيتيش ت بايقوت الواليدة ديالك، راه عار
What happened?,أش وقع؟
good idea,فكرة زوينة
"Especially Sttati, he's my favorite.","خصوصا ستاتي, هو أحسن لي كانحسّبني."
when i gave birth,فاش ولدت
i'ii double check and let you know,أنا غادي نعاود تشيك و نعلّمك
i thought that he will throw a bottle,كان كيسحاب ليا غادي يلقّي شي قنعة
The desserts are in the refrigerator.,الحلوجات فالبرد.
you cant get monkeys,ماكيتقدرش تحصل على القرد
i have a good health,عندي صحة زوينة
i have shaken your hand,أنا سدقت ليك
i hope you are decent enough,كنتمنى تكوني مزيان بزاف
Have you tried to soften your skin,عمرك جربتي ترمل بشرتك
you will die laughing,غاتموت من الضحك
Oh!,أوه!
he increases the price,كايزيد الفلوس
"the match was a display of skill, agility, and teamwork",الماتش كان عرض ديال المهارة و اللحوة و الخدمة الجماعية
you need to know how she was in the beginning,خاصك تعرفي كيفاش كانت ف البداية
he changed,تغير
By the time we get there,قبل نمشيو ليه
i will wear his stuff,أنا غادي نلبس شي حاجة ديالو
he is getting dizzy,كايجيبو درجة ديال الخير
the car scratched me,طوموبيل خدشني
let me stau at the kitchen,خليني نبقى ف الكوزينة
we should know what you recieved it,خاصنا نعرفو شنو لي درتي
you here,نتا هنا
I came with cakes,جيت معاك كيك
Shame on you. What did she ever do to you? So you speak about her in this manner. ,عيب عليك، اشنو درت ليك؟ داكشي لي كاتحضر عليها بهاد الطريقة
someone give charity ,شي واحد كايديف ليك شي حاجة
today they  wil lsentence him,اليوم غادي يلقاو ليه
I miss you mom,توحشت عليك ماما
You look well!,كاتبان مزيان!
i thought that he wil lfix the house,كان كيسحاب ليا غادي يدير دار
gimme a color box,عطيني واحد كيسّة ديال لون
i adopted a kitten from the shelter,واخا واحد الكيت من الملا
you remained asleep,بقيتي ناعسة
she deosnt speak much,ماكاتقولش بزاف
sit there i will call you,تلقّس هتا نعاود ليك
brother,أخي
how about our burger platter,و كيفاش لبرغر ديالنا
why didnt you lie to police,علاش ماكدبتش على البوليس
Watch your mouth,راسك فمّك
what do you need,أشنو خاصك
you weird,نتا غريب
follow these steps,تبع هاد الخطوات
this is my friend,هادي صاحبتي
Yes,أيه
"I'm warning you, it's Rachid or me.",كانحذرك، ريحيد ولا أنا.
He put his hand to his forhead,وضع يدّه على جبل
I will sell sheep,غانبيع لحور
are you listening to me,واش كاتسمع ليا
buy my mom is present this time,شري ماما هادي المرة
your father treats you well,والدك كايعالجك مزيان
have you participated in any community events?,واش شاركتي فشي حدوثات مجتمعات؟
the news were important,الخبر كان مهم
"landmarks, like the pond and the park?",المعالم، بحال البز و الحديقة؟
do you want some coffee?,واش بغيتي القهوة؟
sleep on your ease,ناعس على راسك
"For your arthritis, fortunately, you're here, right?","على المفاصل ديالك, لحسن الحمد لله, نتا هنا, ياك؟"
you borrowed a suit,سلفتي شي سبيت
"please, wake me up at seven am",عفاك، استيقني سبعة
when did you saw me,إمتا شفتي ليا
why you talk with him so much,علاش كتهدر معاه بزاف
I scored well,راني درت بزاف
you should never envolp it,عمرك ت ربطها
Let's fight him,أجي نتقاتلو
I'll have the same thing,غادي ناخد نفس حاجة
go improve your skills,سير و درّسّ ليا لور
a big and nice living room,صالة كبيرة و زوينة
leave him be,خليوه
You make me laughing out loud,كتخليني نضحك بزاف
dont bother,ماتخايبش
I made a mistake,درت غلطية
I'm waiting for you to hack that website,كانتسنّا فيك ت هاك داك لموقع
he doesn't love me,ماكايبغاشني
Can you show me?,واش تقدر توريني؟
went to mosque,مشيت ل مساجد
no doubt she asked a lot of question,بلا شك كانت كتسوي بزاف
i will work with you in this project,أنا غادي نعمل معاك ف هاد المشروع
its extraordinary,راه غير عادية
the oldman has just shown the policeman his driving license,راه شرف لي كايبني ل البوليس ليه ليتام ديال القيادة
why are you out of your job,علاش خليت من الخدمة
sometimes I feel weak,شي مرات كانحسّ بلي ضعيف
When will you relax a bit from this punishment,إمتا غادي ت رتاح شوية من هاد العقوبة
i have nothing to hide,ماعنديش شي حاجة نخبيها
nice goods,البضاعة زوينة
mind your business,راسك لخدمة ديالك
I live alone,كايعيش بوحدي
what i said is true,هادشي لي قلت هو صحيح
i come to home early,أنا كايجي لدار بكري
Have you tried to double your budget project,عمرك جربتي دوّب لبرنامج ديال البدجيت ديالك
if only I could invent something useful,كون غير قدرت ن خلّص شي حاجة مفيدة
I haven't been there.,ماكانش هاهناك.
