Original English,tgt,src
Everyone should do what they think is beneficial to them. ,على الجميع أن يفعلوا ما يعتقدون أنه مفيد لهم,Everyone has to do what they think is good for them
he asked me to meet him,طلب مني أن نقابله,he asked me to meet him
 you are too late to knock on door,بزّات بزّاف باش تدقّ على الباب,too much suits to knock on the door
his highness wil do a project,راه راه راه ديال مشروع,this is a project
i couldnt forget,ماقدرت ننسا,I can't forget
i will make a passport,أنا غادي ندير بزّاف,i will turn too much
he has nothing,هادشي ماشي هادشي,that's not what this is about
i want godness to people,مابغيت الله ليا ناس,you didn't want people
Perhaps I should eat something as well,علاش نا غادي ناكل شي شي حاجة,why don't I eat something
you should never be deligent in your studies,مابغيتيش تكون راهين في دراستك,you don't want to be present in your studies
you scared me,خافتي ليا,you scared me
with us,معانا,with us
I haven't seen you again,مابقيش نشوفك مرة اخرى,I'm not gonna see you again
i understand nothing,مافهمتيش,i don't understand
I dare you to not mix these two colors,تحداكش تا غادي تا غادي نخلط هادين الالوان,i'm going to mix the colors
dont blame yourself ,واش لا تلهمي نفسك,don't inspire yourself
Are you from the U.S.?,هل أنت من أمريكا؟,Are you from America?
dont hit your friends,واش مابغيش بزافتك,don't want to hurt you
dont bring gifts,ماشي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,it's not like a dial to the dial to the dial to the dial
he went to pay for electricity,ذهب ليدفع ليا ديال ديال,he went to pay me
he tells everything,راه كل شي,it's all right
i will not be any more productive,مابقيتي غادي نافع بزّاف,you don't have a lot of money left
september,راه بزّاف,it's too much
"Yes, I still have water in my bag",نعم، ما زال عندي ماء في حقيبتي,"Yes, I still have water in my bag"
rain all the day long,راه طوال اليوم,he's been all day
what will i see,راه نشوف,we'll see
She goes on with the music and part of a symphony orchestra,تابعت مع الموسيقى و جزء من أوركسترا سيمفونية,i followed with music and a part of a symphonic orchestra
remember when we used to believe that being an adult was all fun ?,مانتذكرو نا كنا نا نصدق كوننا بالغين كانو ممتعين؟,do you remember that we believed we were adults that were fun?
thank you,شكّرْك,Thank you
i want to wash my clothes,مابغيتي غادي غسّل لباسي,you don't want to wash my clothes
soccer isn't hard,ديال ديال بزّاف ماشي بزّاف,it's too bad
someone talked about you,راه راه تاكلو عليك,he eats on you
this mother is sensitive,هاد الأم خايف,this mother is scared
Are you hungry?,هل أنت جائع؟,Are you hungry?
you went to mosque,كنت ذهبتي في مسيح,you went to Christ
"Besides, I have a big cold, so I'd better cover for myself.",بجانب، عندي برد كبير، لذا أنا غادي نغطّي على نفسي.,"Besides, I have a big cold, so I'm going to cover myself."
I did a typo,أنا عَملتُ ديال ديال ديال,I did my homework
How did you know it,كيف عرفتيها؟,How did you know her?
you should never turn on hot water,مابغيتيش تشغّل ماء ساخن,You don't want to turn on hot water
The garlic needs roasting,الثوم يحتاج للحوم,the garlic needs meat
i went for him,أنا غادي ليه,i will go to him
blue eyes are brighter than brown,عينان زرقاوتان شاهيان من البنيان,the blue eyes are good from the brown
Ah.,واش,what is it
didn't suit me,واش مايبدل ليا ليا,he will not change for me
i want to go to,أنا غادي نرجع,i will come back
i will draw the deck,أنا غادي نمشي على سطح السفينة,i'm gonna go on board
good luck,واش,what
she never said anything,لم تقل ليا شي شي شي حاجة,you didn't say anything to me
He does the laundry,راه ديال المغسلة,it's the sink
"Oh look, is that a Heron over there",هادشي هادشي هاددرون هادشي,that's what this is about
if only I could speak speak to you,كون غير قدرت نتكلّم معاك,if only i could talk to you
it seems like a big problem,بدا كمشكلة كبيرة,It sounded like a big problem
go back my son to you house,عد بولدي لبيتك,go home
my whole life was as a fan,كامل حياتي كانت كروح,My whole life has been like a soul
Would you like to buy this?,توّد شراء هادشي؟,Would you like to buy this?
he ate before car,راه باش بزّاف بزّاف,it's too much
dont change yourself for people,واش ماغيرتيش باش باش ناس,why don't you change what people
only rocks on floor,صخور فقط على الأرض,only rocks on the floor
go speak to your teacher,سيري وتكلم مع معلمك,go talk to your teacher
you hurted your mom with this talk,كنت جرحت أمك مع هاد الحديث,i hurt your mom with this talk
I dare you to participate in this contest,تحداك تشاركي في هاد المسابقة,Your challenge is to take part in this contest
give me a chance please,عطني ليا فرصة من فضلك,Please give me a chance
i'm not available,ماشي غير متوفّر,It's not available
god help me,ليه ليه ليه ليه ليه ليه ليه ليه ليه ليه,why he why he why he why
Only a jacket and a scarf,فقط سترة و وشاح,just a jacket and a scarf
But his reviews are always justified.,غير أن مراجعاته مبررة دائما.,"However, his reviews are always justified."
what materiels do you use in the construction?,ما العتاد الذي تستخدمه في البناء؟,What tools do you use to build?
its better we send email,راه راه نرسل ليه بزّاف,we send him too much
i will try to explain it in simpler way,غادي نجرب نوضحها بطريقة بسيطة,I'll try to explain it in a simple way
But I don't want to do laps.,ولكن مابغيتش ندير دابا,But i don't want to do it
enough of street food,غادي غادي ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديالك ديال ديال ديال ديال ديال ديال,"it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be a dial, it's going to be"
